wavelength,transmission
2.059760385,0.000249443
2.240623341,0.000622603
2.437364861,0.0008981
2.65138726,0.001368925
2.884181132,0.001156103
3.137451418,0.002017582
3.412944016,0.002390742
3.712575357,0.001494275
4.038520766,0.000793135
4.393115446,0.000775641
4.77884464,0.000758147
5.198419807,0.000349998
5.654881433,0.000723159
6.151397605,0.000705665
6.6915166,0.000785834
7.27906814,0.000963667
7.91815059,0.000457855
8.613407264,0.000635688
9.369741333,0.001106512
10.19243375,0.001089018
11.08739672,0.001364515
12.06082719,0.000761039
13.11986147,0.001134199
14.27173447,0.000530723
15.52483713,0.000513229
16.88780346,-0.000383238
18.37070339,8.75859E-05
19.98372965,0.000167755
21.73866565,0.001419889
23.64721095,0.000718749
25.72359217,0.000994246
27.98235326,0.00146507
30.43963288,0.002473045
33.11518678,0.010337009
35.34291448,0.016993919
39.00055561,0.036161545
43.65487058,0.05911247
45.71429414,0.066282375
49.83117365,0.003084963
51.6770752,0.056205608
54.17542769,0.165323999
56.19109348,0.232803584
59.18077802,0.297408194
62.326589,0.35770512
65.63239025,0.407950788
70.19509881,0.475423996
75.45391319,0.535716672
80.27141924,0.584524319
86.27426334,0.633329841
92.24440001,0.673521061
100.1474695,0.70940141
105.4310881,0.735236876
118.6498859,0.782596938
136.2507589,0.806978443
154.8878024,0.841413332
177.8391321,0.852871788
180.6079548,0.862919859
187.1774604,0.857168842
190.1425212,0.891627114
195.0907912,0.903108953
198.0721104,0.887310929
208.4597533,0.885864406
223.8479303,0.852823961
232.0523187,0.871483145
243.0376464,0.893011992
254.4109009,0.867156331
259.6105574,0.847049562
271.742261,0.815450324
274.5915396,0.834114823
274.6822747,0.8642686
283.3912097,0.913082625
289.3743115,0.95328341
303.1066337,0.984863516
